instancia,intensidade,respeita_lb,repeticao,duracao,fo
instance_0004b,0.1,False,9,60.32,4.306748466257669
instance_0004b,0.3,True,4,60.60,5.627450980392157
instance_0004b,0.8,True,4,60.37,5.860927152317881
instance_0004b,0.9,True,10,60.23,5.28
instance_0004b,0.4,True,10,60.29,5.7612903225806456
instance_0004b,0.6,False,10,60.36,4.300613496932515
instance_0004b,1.0,False,5,60.67,4.40625
instance_0004b,0.5,False,5,60.69,4.306748466257669
instance_0004b,0.1,False,10,60.61,4.730061349693251
instance_0004b,0.3,True,5,60.55,5.496774193548387
instance_0004b,0.8,True,5,60.35,5.664383561643835
instance_0004b,0.4,False,1,60.50,17.734177215189874
instance_0004b,0.9,False,1,60.73,4.3602484472049685
instance_0004b,0.7,True,1,61.04,5.30379746835443
instance_0004b,0.2,True,1,60.63,5.6265822784810124
instance_0004b,1.0,False,6,60.73,4.337423312883436
instance_0004b,0.3,True,6,60.71,5.3881578947368425
instance_0004b,0.5,False,6,61.06,4.331288343558282
instance_0004b,0.8,True,6,61.16,5.058441558441558
instance_0004b,0.9,False,2,60.37,4.306748466257669
instance_0004b,0.4,False,2,60.57,4.380368098159509
instance_0004b,0.7,True,2,60.81,5.517006802721088
instance_0004b,0.2,True,2,60.76,5.253333333333333
instance_0004b,0.3,True,7,60.51,5.355263157894737
instance_0004b,1.0,False,7,60.75,4.415094339622642
instance_0004b,0.5,False,7,60.68,4.3602484472049685
instance_0004b,0.8,True,7,61.35,5.4144736842105265
instance_0004b,0.9,False,3,60.41,4.364197530864198
instance_0004b,0.4,False,3,60.36,4.3128834355828225
instance_0004b,1.0,False,8,60.33,4.3128834355828225
instance_0004b,0.2,True,3,60.41,5.617449664429531
instance_0004b,0.7,True,3,60.75,5.552631578947368
instance_0004b,0.3,True,8,60.57,5.7947019867549665
instance_0004b,0.5,False,8,60.66,4.382716049382716
instance_0004b,0.8,True,8,60.92,5.699346405228758
instance_0004b,0.4,False,4,60.21,4.41875
instance_0004b,0.9,False,4,60.25,4.319018404907975
instance_0004b,1.0,False,9,60.39,4.306748466257669
instance_0004b,0.2,True,4,60.36,5.838709677419355
instance_0004b,0.7,True,4,60.33,5.851851851851852
instance_0004b,0.3,True,9,60.31,5.707006369426751
instance_0004b,0.5,False,9,60.63,4.300613496932515
instance_0004b,0.8,True,9,60.21,5.4605263157894735
